PCHB to Synchronous converted Netlist

x0 x1 x2 x3 x4 y0 y1 y2 y3 y4
p0 p1 p2 p3 p4 p5 p6 p7 p8 p9
and2 1 p0 x0 y0
and2 1 t0 x1 y0
and2 1 t1 x0 y1
xor2 2 p1 t0 t1
and2 2 c0 t0 t1
and2 1 t2 x2 y0
and2 1 t3 x1 y1
xor2 2 t4 t2 t3
and2 2 t6 t2 t3
xor2 3 s1 c0 t4
and2 3 t5 c0 t4
or2 4 c1 t6 t5
and2 1 t7 x3 y0
and2 1 t8 x2 y1
xor2 2 t9 t7 t8
and2 2 t10 t7 t8
xor2 5 s2 c1 t9
and2 5 t11 c1 t9
or2 6 c2 t10 t11
and2 1 t12 x4 y0
and2 1 t13 x3 y1
xor2 2 t14 t12 t13
and2 2 t15 t12 t13
xor2 7 s3 c2 t14
and2 7 t16 c2 t14
or2 8 c3 t15 t16
and2 1 t17 x4 y1
xor2 9 s4 t17 c3
and2 9 c4 t17 c3
and2 1 t18 x0 y2
xor2 4 p2 s1 t18
and2 4 c5 s1 t18
and2 1 t19 x1 y2
xor2 6 t20 s2 t19
and2 6 t21 s2 t19
xor2 7 s5 c5 t20
and2 7 t22 c5 t20
or2 8 c6 t22 t21
and2 1 t23 x2 y2
xor2 8 t24 s3 t23
and2 8 t25 s3 t23
xor2 9 s6 c6 t24
and2 9 t26 c6 t24
or2 10 c7 t26 t25
and2 1 t27 x3 y2
xor2 10 t28 s4 t27
and2 10 t29 s4 t27
xor2 11 s7 c7 t28
and2 11 t30 c7 t28
or2 12 c8 t30 t29
and2 1 t31 x4 y2
xor2 10 t32 c4 t31
and2 10 t33 c4 t31
xor2 13 s8 c8 t32
and2 13 t34 c8 t32
or2 14 c9 t34 t33
and2 1 t35 x0 y3
xor2 8 p3 s5 t35
and2 8 c10 s5 t35
and2 1 t36 x1 y3
xor2 10 t37 s6 t36
and2 10 t38 s6 t36
xor2 11 s9 c10 t37
and2 11 t39 c10 t37
or2 12 c11 t39 t38
and2 1 t40 x2 y3
xor2 12 t41 s7 t40
and2 12 t42 s7 t40
xor2 13 s10 c11 t41
and2 13 t43 c11 t41
or2 14 c12 t43 t42
and2 1 t44 x3 y3
xor2 14 t45 s8 t44
and2 14 t46 s8 t44
xor2 15 s11 c12 t45
and2 15 t47 c12 t45
or2 16 c13 t47 t46
and2 1 t48 x4 y3
xor2 15 t49 c9 t48
and2 15 t50 c9 t48
xor2 17 s12 c13 t49
and2 17 t51 c13 t49
or2 18 c14 t51 t50
and2 1 t52 x0 y4
xor2 12 p4 s9 t52
and2 12 c15 s9 t52
and2 1 t53 x1 y4
xor2 14 t54 s10 t53
and2 14 t55 s10 t53
xor2 15 p5 c15 t54
and2 15 t56 c15 t54
or2 16 c16 t56 t55
and2 1 t57 x2 y4
xor2 16 t58 s11 t57
and2 16 t59 s11 t57
xor2 17 p6 c16 t58
and2 17 t60 c16 t58
or2 18 c17 t60 t59
and2 1 t61 x3 y4
xor2 18 t62 s12 t61
and2 18 t63 s12 t61
xor2 19 p7 c17 t62
and2 19 t64 c17 t62
or2 20 c18 t64 t63
and2 1 t65 x4 y4
xor2 19 t66 c14 t65
and2 19 t67 c14 t65
xor2 21 p8 c18 t66
and2 21 t68 c18 t66
or2 22 p9 t68 t67

Netlist conversion done 
